id,aqisitionStation,pressure,relative_humidity,temperature,timestamp,wind,nebulosityType,windtype
55,DRAGASANI,988.7,45,26.9,1435829066369,1.0,NULL,NULL
56,"DROBETA TURNU SEVERIN",1012.3,50,26.4,1435829066395,2.0,NULL,NULL
57,DUMBRAVENI,984.7,66,22.8,1435829066435,3.0,NULL,NULL
58,"DUMBRAVITA DE CODRU",955.9,63,22.9,1435829066533,1.0,NULL,NULL
59,FAGARAS,972.3,64,22.7,1435829066567,3.0,NULL,NULL
60,FETESTI,1013.2,54,26.2,1435829066596,3.0,NULL,NULL
61,FOCSANI,1016,57,23.6,1435829066630,3.0,NULL,NULL
62,FUNDATA,871.2,82,17.2,1435829066664,5.0,NULL,NULL
63,FUNDULEA,1013.1,53,27.2,1435829066699,4.0,NULL,NULL
64,GALATI,1013.5,54,23.8,1435829066725,5.0,NULL,NULL
65,GIURGIU,1018.1,62,26.7,1435829066901,2.0,NULL,NULL
66,GORGOVA,1020,62,25,1435829067081,2.0,NULL,NULL
67,GRIVITA,1015.4,50,26.5,1435829067162,6.0,NULL,NULL
68,"GURA PORTITEI",1019.6,55,25.2,1435829067189,5.0,NULL,NULL
69,GURAHONT,1001.8,58,24.3,1435829067239,1.0,NULL,NULL
70,HALANGA,1015.9,41,27.1,1435829067297,NULL,NULL,NULL
71,HARSOVA,1015.9,41,26.9,1435829067434,6.0,NULL,NULL
72,HOLOD,1004,52,25.4,1435829067461,2.0,NULL,NULL
73,HUEDIN,958.6,77,18.6,1435829067534,2.0,NULL,NULL
74,IASI,1013,53,24.2,1435829067591,2.0,NULL,NULL
75,IEZER,829.3,73,9.5,1435829067695,2.0,NULL,NULL
76,"INTORSURA BUZAULUI",942.3,77,19.5,1435829067760,2.0,NULL,NULL
77,JIMBOLIA,1013.4,34,28.5,1435829067790,1.0,NULL,NULL
78,JOSENI,937,78,19.5,1435829068237,1.0,NULL,NULL
79,JURILOVCA,1015.6,40,27.3,1435829068414,6.0,NULL,NULL
80,LACAUTI,821,79,10.8,1435829068548,3.0,NULL,NULL
81,LUGOJ,1008.1,52,26.1,1435829068660,2.0,NULL,NULL
82,MAHMUDIA,1000.2,53,23.6,1435829068682,8.0,NULL,NULL
83,MANGALIA,1018.6,75,23.7,1435829068724,5.0,NULL,NULL
84,MEDGIDIA,1011.7,42,26.5,1435829068763,3.0,NULL,NULL
85,"MIERCUREA CIUC",946,65,20.1,1435829068835,1.0,NULL,NULL
86,"MOLDOVA VECHE",1012.9,60,24.8,1435829068905,1.0,NULL,NULL
87,"NEGRESTI (VASLUI)",1006.7,48,23,1435829068934,5.0,NULL,NULL
88,"OBARSIA LOTRULUI",874,54,17.8,1435829068960,1.0,NULL,NULL
89,"OCNA SUGATAG",965,56,20.8,1435829069027,1.0,NULL,NULL
90,"ODORHEIUL SECUIESC",961.3,70,20.8,1435829069156,1.0,NULL,NULL
91,OLTENITA,1018.2,60,27,1435829069184,2.0,NULL,NULL
92,ORADEA,1007.4,37,26.7,1435829069546,4.0,NULL,NULL
93,ORAVITA,986.8,57,25,1435829069884,2.0,NULL,NULL
94,"PADES (APA NEAGRA)",862.9,69,25.8,1435829069960,NULL,NULL,NULL
95,PALTINIS,862.9,69,15.7,1435829070008,1.0,NULL,NULL
96,PARANG,852.9,76,16,1435829070096,1.0,NULL,NULL
97,PATARLAGELE,986.3,56,24.2,1435829070139,3.0,NULL,NULL
98,PENTELEU,843,68,13.3,1435829070175,5.0,NULL,NULL
99,PETROSANI,954.3,78,21.4,1435829070260,4.0,NULL,NULL
100,"PIATRA NEAMT",980.6,49,21.5,1435829070301,5.0,NULL,NULL
101,PITESTI,983.6,51,25.4,1435829070495,2.0,NULL,NULL
102,PLOIESTI,999.8,56,25.8,1435829070535,2.0,NULL,NULL
103,"POIANA STAMPEI",918.2,49,18,1435829070633,5.0,NULL,NULL
104,POLOVRAGI,960.4,53,23.2,1435829070739,1.0,NULL,NULL
105,PREDEAL,900.1,73,16.8,1435829070864,3.0,NULL,NULL
106,RADAUTI,978.3,55,21.3,1435829071463,5.0,NULL,NULL
107,"RAMNICU SARAT",1004,68,24.8,1435829071520,4.0,NULL,NULL
108,"RAMNICU VALCEA",993,43,27.8,1435829071587,1.0,NULL,NULL
109,RESITA,990.1,58,25.2,1435829071839,2.0,NULL,NULL
110,ROMAN,996.2,56,21.7,1435829072030,7.0,NULL,NULL
111,"ROSIA MONTANA",890.1,60,18.6,1435829072115,1.0,NULL,NULL
112,"ROSIORII DE VEDE",1009.7,73,26.8,1435829073281,NULL,NULL,NULL
113,SACUIENI,1009.7,73,19.4,1435829074300,1.0,NULL,NULL
114,"SANNICOLAU MARE",1010.6,36,28.5,1435829074346,1.0,NULL,NULL
115,SARMASU,976.6,63,22.5,1435829074398,2.0,NULL,NULL
116,"SATU MARE",1008.5,45,25.1,1435829074443,4.0,NULL,NULL
117,"SEBES (ALBA)",990.9,60,24.1,1435829074494,5.0,NULL,NULL
118,SEMENIC,866.3,78,16.1,1435829074553,3.0,NULL,NULL
119,"SFANTU GHEORGHE (DELTA)",1020.8,65,23.8,1435829074609,5.0,NULL,NULL
120,"SFANTU GHEORGHE (MUNTE)",961.3,80,20.9,1435829074685,1.0,NULL,NULL
121,SIBIU,970.6,46,25.1,1435829074743,1.0,NULL,NULL
122,"SIGHETUL MARMATIEI",991.1,41,24.4,1435829074791,2.0,NULL,NULL
123,"SINAIA 1500",855.8,79,13.5,1435829074844,1.0,NULL,NULL
124,SIRIA,968.7,50,23.8,1435829074903,2.0,NULL,NULL
125,SLATINA,1000.9,51,26.6,1435829074975,1.0,NULL,NULL
126,SLOBOZIA,1014.7,43,26.8,1435829075031,6.0,NULL,NULL
127,"STANA DE VALE",899.4,64,17.8,1435829075255,1.0,NULL,NULL
128,"STEFANESTI STANCA",1008.9,53,23,1435829075450,8.0,NULL,NULL
129,"STEI (PETRU GROZA)",990,56,23.8,1435829075503,2.0,NULL,NULL
130,STOLNICI,996.6,53,25.7,1435829075737,2.0,NULL,NULL
131,SUCEAVA,980.4,56,20.8,1435829075817,6.0,NULL,NULL
132,SULINA,1018.4,77,22.2,1435829075877,4.0,NULL,NULL
133,"SUPURU DE JOS",791.4,75,23.9,1435829076017,NULL,NULL,NULL
134,TARCU,791.4,75,9.2,1435829076067,8.0,NULL,NULL
135,TARGOVISTE,986.4,52,25.2,1435829076126,2.0,NULL,NULL
136,"TARGU JIU",997.1,42,26.7,1435829076230,1.0,NULL,NULL
137,"TARGU LAPUS",990.2,49,23,1435829076296,NULL,NULL,NULL
138,"TARGU LOGRESTI",990.2,49,26.2,1435829076350,1.0,NULL,NULL
139,"TARGU MURES",986.4,66,23,1435829076462,1.0,NULL,NULL
140,"TARGU NEAMT",978,55,21.1,1435829076578,5.0,NULL,NULL
141,"TARGU OCNA",994.1,68,22,1435829076662,3.0,NULL,NULL
142,"TARGU SECUIESC",956.7,81,18.1,1435829076692,2.0,NULL,NULL
143,"TARNAVENI (BOBOHALMA)",961.9,66,21.3,1435829076907,4.0,NULL,NULL
144,TEBEA,990.9,54,24.2,1435829077021,2.0,NULL,NULL
145,TECUCI,1015,70,20.6,1435829077079,4.0,NULL,NULL
146,TIMISOARA,1012.3,45,27.4,1435829077140,1.0,NULL,NULL
147,TITU,1003.1,51,26.6,1435829077490,2.0,NULL,NULL
148,TOPLITA,944.1,50,20.7,1435829077603,3.0,NULL,NULL
149,TULCEA,1019.8,43,26.3,1435829077748,3.0,NULL,NULL
150,TURDA,973.1,58,24.1,1435829077865,3.0,NULL,NULL
151,"TURNU MAGURELE",1017.7,64,25.7,1435829077926,3.0,NULL,NULL
152,URZICENI,1014.1,49,25.2,1435829077994,4.0,NULL,NULL
153,"VARADIA DE MURES",1005.1,60,25.1,1435829078093,1.0,NULL,NULL
154,"VARFUL OMU",759,95,4.7,1435829078161,2.0,NULL,NULL
155,VASLUI,1007.4,62,22.9,1435829078185,3.0,NULL,NULL
156,VIDELE,824.4,91,21.2,1435829079205,NULL,NULL,NULL
157,"VLADEASA 1400",824.4,91,13.2,1435829079240,NULL,NULL,NULL
158,"VLADEASA 1800",824.4,91,10.3,1435829079281,4.0,NULL,NULL
159,VOINEASA,956.1,46,22.6,1435829079328,1.0,NULL,NULL
160,ZALAU,988.4,49,23.5,1435829079376,3.0,NULL,NULL
161,ZIMNICEA,1017.1,66,25.6,1435829079423,3.0,NULL,NULL
162,ADAMCLISI,1001.3,51,26.6,1435832662167,2.0,NULL,NULL
163,ADJUD,1008.8,52,24.4,1435832662197,5.0,NULL,NULL
164,"ALBA IULIA",994.3,61,24.4,1435832662239,1.0,NULL,NULL
165,ALEXANDRIA,1011.7,51,27.6,1435832662269,2.0,NULL,NULL
166,ARAD,1008.9,36,28.3,1435832662294,1.0,NULL,NULL
167,BACAU,1001.5,42,25,1435832662322,3.0,NULL,NULL
168,BACLES,985.1,43,26,1435832662352,2.0,NULL,NULL
169,"BAIA MARE",1000.6,49,24.7,1435832662380,2.0,NULL,NULL
170,"BAILE HERCULANE",998.7,40,28,1435832662408,1.0,NULL,NULL
171,BAILESTI,1014.9,44,27.2,1435832662435,1.0,NULL,NULL
172,BAISOARA,872.6,57,14.4,1435832662464,4.0,NULL,NULL
173,"BALEA LAC",802.4,92,5.2,1435832662523,6.0,NULL,NULL
174,BANLOC,1013.1,39,28.3,1435832662584,3.0,NULL,NULL
175,BARAOLT,962.9,70,19.9,1435832662626,4.0,NULL,NULL
176,BARLAD,1001.3,57,23.3,1435832662665,2.0,NULL,NULL
177,"BARNOVA (RADAR)",975.4,66,21.6,1435832662697,1.0,NULL,NULL
178,BATOS,970.1,52,23.6,1435832662723,3.0,NULL,NULL
179,BECHET,1016.9,51,26.8,1435832662752,2.0,NULL,NULL
180,BISOCA,925.1,66,16.2,1435832662779,9.0,NULL,NULL
181,BISTRITA,979,48,24.4,1435832662809,2.0,NULL,NULL
182,BLAJ,983,59,23.2,1435832662839,3.0,NULL,NULL
183,BOITA,961.9,52,25.7,1435832662866,1.0,NULL,NULL
184,BOROD,984.3,50,24.2,1435832662893,2.0,NULL,NULL
185,BOTOSANI,1003.8,48,23.3,1435832662921,5.0,NULL,NULL
186,BOZOVICI,992.5,43,28,1435832662949,1.0,NULL,NULL
187,BRAILA,1019.4,55,25.7,1435832663008,4.0,NULL,NULL
188,"BRASOV GHIMBAV",959.8,55,23.3,1435832663040,6.0,NULL,NULL
189,BUCIN,880.9,70,14.7,1435832663067,3.0,NULL,NULL
190,"BUCURESTI AFUMATI",1011.2,46,27,1435832663096,3.0,NULL,NULL
191,"BUCURESTI BANEASA",1010.1,49,27.3,1435832663123,2.0,NULL,NULL
192,"BUCURESTI FILARET",1010.1,56,28,1435832663153,NULL,NULL,NULL
193,BUZAU,1010.1,56,24.1,1435832663451,2.0,NULL,NULL
194,CALAFAT,1013.9,46,29.3,1435832663477,1.0,NULL,NULL
195,CALARASI,1017.9,43,28.2,1435832663570,3.0,NULL,NULL
196,"CALIMANI (RETITIS)",806.5,82,7,1435832663712,6.0,NULL,NULL
197,"CAMPENI (BISTRA)",951.8,53,24.7,1435832663747,1.0,NULL,NULL
198,CAMPINA,967.8,63,22.3,1435832663770,2.0,NULL,NULL
199,"CAMPULUNG MUSCEL",1008.4,50,22.8,1435832663802,NULL,NULL,NULL
200,CARACAL,1008.4,50,28.3,1435832663893,1.0,NULL,NULL
201,CARANSEBES,994.3,52,26.8,1435832663933,3.0,NULL,NULL
202,"CEAHLAU TOACA",818.3,100,9.2,1435832663959,4.0,NULL,NULL
203,CERNAVODA,1009.6,39,28.4,1435832663989,5.0,NULL,NULL
204,"CHISINEU CRIS",1011,40,27.6,1435832664056,3.0,NULL,NULL
205,CLUJ-NAPOCA,974.7,54,23.5,1435832664190,5.0,NULL,NULL
206,CONSTANTA,1018.1,66,24.3,1435832664215,2.0,NULL,NULL
207,CORUGEA,994.4,100,24.8,1435832664293,5.0,NULL,NULL
208,COTNARI,988.3,49,21.7,1435832664389,8.0,NULL,NULL
209,CRAIOVA,998.4,46,26.8,1435832664439,1.0,NULL,NULL
210,CUNTU,864.1,60,15.8,1435832664472,2.0,NULL,NULL
211,"CURTEA DE ARGES",992.8,51,25.9,1435832664540,NULL,NULL,NULL
212,DARABANI,992.8,51,22.7,1435832664840,5.0,NULL,NULL
213,DEDULESTI-MORARESTI,959,36,25.3,1435832664866,1.0,NULL,NULL
214,DEJ,994.7,50,24.6,1435832664968,1.0,NULL,NULL
215,DEVA,994.3,39,27.3,1435832665311,2.0,NULL,NULL
216,DRAGASANI,988.5,43,28,1435832665388,1.0,NULL,NULL
217,"DROBETA TURNU SEVERIN",1012.1,37,28.8,1435832665658,1.0,NULL,NULL
218,DUMBRAVENI,984.5,59,24.3,1435832665789,3.0,NULL,NULL
219,"DUMBRAVITA DE CODRU",957,55,23.8,1435832665814,2.0,NULL,NULL
220,FAGARAS,972.2,63,22.4,1435832665883,5.0,NULL,NULL
221,FETESTI,1013,41,27.4,1435832666081,3.0,NULL,NULL
222,FOCSANI,1015.7,50,24.2,1435832666173,3.0,NULL,NULL
223,FUNDATA,871.2,85,17,1435832666496,3.0,NULL,NULL
224,FUNDULEA,1013.1,53,27.2,1435832666688,4.0,NULL,NULL
225,GALATI,1013.4,66,22.2,1435832666839,3.0,NULL,NULL
226,GIURGIU,1017.8,53,27.7,1435832666945,2.0,NULL,NULL
227,GORGOVA,1020,49,26.2,1435832667261,2.0,NULL,NULL
228,GRIVITA,1015,48,27,1435832667290,6.0,NULL,NULL
229,"GURA PORTITEI",1019.6,48,26.8,1435832667465,5.0,NULL,NULL
230,GURAHONT,1001.5,51,26.7,1435832667545,1.0,NULL,NULL
231,HALANGA,1014.4,46,28.5,1435832667618,2.0,NULL,NULL
232,HARSOVA,1015.9,41,27.3,1435832667685,6.0,NULL,NULL
233,HOLOD,1003.7,42,26.5,1435832667770,3.0,NULL,NULL
234,HUEDIN,958.6,77,18.6,1435832667902,2.0,NULL,NULL
235,IASI,1012.9,48,24.2,1435832667985,2.0,NULL,NULL
236,IEZER,829.7,70,10.5,1435832668014,4.0,NULL,NULL
237,"INTORSURA BUZAULUI",943.3,97,14.7,1435832668039,2.0,NULL,NULL
238,JIMBOLIA,1013.3,35,28.4,1435832668177,1.0,NULL,NULL
239,JOSENI,936.8,69,20.4,1435832668203,4.0,NULL,NULL
240,JURILOVCA,1015.4,40,26.2,1435832668437,8.0,NULL,NULL
241,LACAUTI,821,92,8.6,1435832668592,4.0,NULL,NULL
242,LUGOJ,1007.9,44,27.6,1435832668619,3.0,NULL,NULL
243,MAHMUDIA,1000.1,47,25.3,1435832668644,9.0,NULL,NULL
244,MANGALIA,1018.4,74,24.1,1435832668684,5.0,NULL,NULL
245,MEDGIDIA,1011.4,46,26.6,1435832668791,5.0,NULL,NULL
246,"MIERCUREA CIUC",945.9,55,20.8,1435832668940,2.0,NULL,NULL
247,"MOLDOVA VECHE",1012.5,48,27.7,1435832669115,4.0,NULL,NULL
248,"NEGRESTI (VASLUI)",1006.4,42,24.4,1435832669370,6.0,NULL,NULL
249,"OBARSIA LOTRULUI",874.1,49,17.5,1435832669446,1.0,NULL,NULL
250,"OCNA SUGATAG",964.9,48,22.4,1435832669555,1.0,NULL,NULL
251,"ODORHEIUL SECUIESC",961.3,65,22,1435832669621,2.0,NULL,NULL
252,OLTENITA,1018.2,55,28,1435832669646,3.0,NULL,NULL
253,ORADEA,1007.4,36,27.3,1435832669701,4.0,NULL,NULL
254,ORAVITA,986.7,46,26.2,1435832669770,4.0,NULL,NULL
255,"PADES (APA NEAGRA)",863,64,27,1435832669899,NULL,NULL,NULL
256,PALTINIS,863,64,15.7,1435832669926,1.0,NULL,NULL
257,PARANG,853.2,74,14.5,1435832669974,2.0,NULL,NULL
258,PATARLAGELE,986.3,55,21.6,1435832670025,5.0,NULL,NULL
259,PENTELEU,843,95,11.2,1435832670091,5.0,NULL,NULL
260,PETROSANI,954.3,66,23.6,1435832670118,6.0,NULL,NULL
261,"PIATRA NEAMT",980.5,46,23.1,1435832670190,4.0,NULL,NULL
262,PITESTI,983.4,48,26.4,1435832670216,2.0,NULL,NULL
263,PLOIESTI,999.8,66,24.2,1435832670245,1.0,NULL,NULL
264,"POIANA STAMPEI",918.2,52,18.4,1435832670301,5.0,NULL,NULL
265,POLOVRAGI,960.4,49,24.9,1435832670460,2.0,NULL,NULL
266,PREDEAL,899.8,64,19,1435832670486,2.0,NULL,NULL
267,RADAUTI,978.4,56,20.4,1435832670512,5.0,NULL,NULL
268,"RAMNICU SARAT",1004,68,24.8,1435832670831,6.0,NULL,NULL
269,"RAMNICU VALCEA",992.8,33,29.2,1435832671057,3.0,NULL,NULL
270,RESITA,990,52,26.4,1435832671162,3.0,NULL,NULL
271,ROMAN,996.1,47,23.6,1435832671328,7.0,NULL,NULL
272,"ROSIA MONTANA",889.9,57,20.5,1435832671478,1.0,NULL,NULL
273,"ROSIORII DE VEDE",1008.5,52,27,1435832671594,1.0,NULL,NULL
274,SACUIENI,1009.7,73,19.4,1435832671674,1.0,NULL,NULL
275,"SANNICOLAU MARE",1010.5,34,29.6,1435832671803,1.0,NULL,NULL
276,SARMASU,976.5,59,23.7,1435832671828,2.0,NULL,NULL
277,"SATU MARE",1008.5,45,26,1435832672040,3.0,NULL,NULL
278,"SEBES (ALBA)",990.7,52,23.6,1435832672188,4.0,NULL,NULL
279,SEMENIC,866.5,75,16,1435832672501,3.0,NULL,NULL
280,"SFANTU GHEORGHE (DELTA)",1020.4,62,24.3,1435832672657,5.0,NULL,NULL
281,"SFANTU GHEORGHE (MUNTE)",962.1,91,16.3,1435832673110,1.0,NULL,NULL
282,SIBIU,970.7,47,25,1435832673135,2.0,NULL,NULL
283,"SIGHETUL MARMATIEI",991,37,24.8,1435832673310,2.0,NULL,NULL
284,"SINAIA 1500",855.7,68,16.7,1435832673456,1.0,NULL,NULL
285,SIRIA,968.7,46,24.9,1435832673559,2.0,NULL,NULL
286,SLATINA,1000.6,44,27.7,1435832673611,1.0,NULL,NULL
287,SLOBOZIA,1014.7,40,27.2,1435832673659,6.0,NULL,NULL
288,"STANA DE VALE",899.6,60,18.3,1435832673690,1.0,NULL,NULL
289,"STEFANESTI STANCA",1008.8,50,24.3,1435832673714,7.0,NULL,NULL
290,"STEI (PETRU GROZA)",989.9,49,25.5,1435832673742,3.0,NULL,NULL
291,STOLNICI,996.4,51,26,1435832673866,2.0,NULL,NULL
292,SUCEAVA,980.5,51,21.5,1435832673975,5.0,NULL,NULL
293,SULINA,1018.2,67,22.6,1435832674002,4.0,NULL,NULL
294,"SUPURU DE JOS",791.4,78,24.6,1435832674028,NULL,NULL,NULL
295,TARCU,791.4,78,9.5,1435832674056,8.0,NULL,NULL
296,TARGOVISTE,986.2,52,26.3,1435832674124,2.0,NULL,NULL
297,"TARGU JIU",996.9,37,28.7,1435832674223,2.0,NULL,NULL
298,"TARGU LAPUS",980.7,35,23,1435832674338,1.0,NULL,NULL
299,"TARGU LOGRESTI",986.2,56,27,1435832674364,NULL,NULL,NULL
300,"TARGU MURES",986.2,56,23.8,1435832674435,2.0,NULL,NULL
301,"TARGU NEAMT",978,52,22.2,1435832674663,4.0,NULL,NULL
302,"TARGU OCNA",993.8,54,22.6,1435832674770,4.0,NULL,NULL
303,"TARGU SECUIESC",956.9,59,19.1,1435832674796,2.0,NULL,NULL
304,"TARNAVENI (BOBOHALMA)",961.9,62,22.3,1435832674823,6.0,NULL,NULL
305,TEBEA,990.6,47,26.1,1435832674851,4.0,NULL,NULL
306,TECUCI,1014.6,58,23.7,1435832675105,6.0,NULL,NULL
307,TIMISOARA,1012.2,33,28,1435832675212,2.0,NULL,NULL
308,TITU,1002.7,50,27.5,1435832675238,1.0,NULL,NULL
309,TOPLITA,943.9,49,20.6,1435832675262,3.0,NULL,NULL
310,TULCEA,1019.8,46,26.2,1435832675291,5.0,NULL,NULL
311,TURDA,973.1,53,24.3,1435832675467,4.0,NULL,NULL
312,"TURNU MAGURELE",1017.1,57,26.8,1435832675771,2.0,NULL,NULL
313,URZICENI,1013.9,49,25.1,1435832676202,4.0,NULL,NULL
314,"VARADIA DE MURES",1004.8,49,27.3,1435832676455,1.0,NULL,NULL
315,"VARFUL OMU",759.2,94,5,1435832676931,6.0,NULL,NULL
316,VASLUI,1007.2,42,23.6,1435832676956,5.0,NULL,NULL
317,VIDELE,824.5,87,21.2,1435832677088,NULL,NULL,NULL
318,"VLADEASA 1400",824.5,87,13.2,1435832677205,NULL,NULL,NULL
319,"VLADEASA 1800",824.5,87,10.4,1435832677276,4.0,NULL,NULL
320,VOINEASA,956,37,24.2,1435832677389,1.0,NULL,NULL
321,ZALAU,988.4,49,24.3,1435832677530,3.0,NULL,NULL
322,ZIMNICEA,1016.7,59,27.4,1435832677637,2.0,NULL,NULL
323,ADAMCLISI,1001.1,40,27.3,1435836262131,3.0,NULL,NULL
324,ADJUD,1008,44,25.7,1435836262161,6.0,NULL,NULL
325,"ALBA IULIA",993.9,51,25.6,1435836262202,2.0,NULL,NULL
326,ALEXANDRIA,1011.4,47,28.2,1435836262233,2.0,NULL,NULL
327,ARAD,1008.7,36,28.9,1435836262259,2.0,NULL,NULL
328,BACAU,1001.3,45,23.5,1435836262287,3.0,NULL,NULL
329,BACLES,985,44,26.8,1435836262314,2.0,NULL,NULL
330,"BAIA MARE",1000.6,33,26.8,1435836262342,1.0,NULL,NULL
331,"BAILE HERCULANE",998.4,37,29.9,1435836262373,2.0,NULL,NULL
332,BAILESTI,1014.6,44,27.8,1435836262410,2.0,NULL,NULL
333,"BALEA LAC",802.5,97,5.3,1435836262476,6.0,NULL,NULL
334,BANLOC,1012.9,38,29.4,1435836262524,2.0,NULL,NULL
335,BARAOLT,963,66,20.8,1435836262557,2.0,NULL,NULL
336,BARLAD,1000.8,45,24.3,1435836262582,2.0,NULL,NULL
337,"BARNOVA (RADAR)",975.3,51,23,1435836262612,1.0,NULL,NULL
338,BATOS,970.1,42,24.7,1435836262642,2.0,NULL,NULL
339,BECHET,1016.6,44,27.8,1435836262669,1.0,NULL,NULL
340,BISOCA,925.3,65,16.1,1435836262698,6.0,NULL,NULL
341,BISTRITA,979.1,52,24,1435836262727,2.0,NULL,NULL
342,BLAJ,982.9,56,24.1,1435836262757,1.0,NULL,NULL
343,BOITA,961.7,53,25.1,1435836262784,2.0,NULL,NULL
344,BOROD,984.2,47,24.6,1435836262812,3.0,NULL,NULL
345,BOTOSANI,1003.8,49,22.9,1435836262841,5.0,NULL,NULL
346,BOZOVICI,992.4,39,27,1435836262869,5.0,NULL,NULL
347,BRAILA,1019.2,50,26.2,1435836262899,4.0,NULL,NULL
348,"BRASOV GHIMBAV",960.6,71,19.6,1435836262964,3.0,NULL,NULL
349,BUCIN,880.9,60,15.5,1435836263013,3.0,NULL,NULL
350,"BUCURESTI AFUMATI",1010.7,46,26.8,1435836263108,2.0,NULL,NULL
351,"BUCURESTI BANEASA",1009.5,47,26.7,1435836263165,1.0,NULL,NULL
352,"BUCURESTI FILARET",1010.2,49,28.5,1435836263272,NULL,NULL,NULL
353,BUZAU,1010.2,49,23.9,1435836263299,5.0,NULL,NULL
354,CALAFAT,1013.6,36,29.5,1435836263428,1.0,NULL,NULL
355,CALARASI,1017.6,38,28.5,1435836263454,3.0,NULL,NULL
356,"CALIMANI (RETITIS)",807,62,8.3,1435836263477,6.0,NULL,NULL
357,"CAMPENI (BISTRA)",951.6,44,26.5,1435836263508,1.0,NULL,NULL
358,CAMPINA,967.6,65,23,1435836263563,3.0,NULL,NULL
